Simulation_Run,Ending_Balance_INR
552,2752814.7037914777
553,2458139.682063282
554,2626274.833155956
555,2605799.497598143
556,2527382.2935710098
557,2635472.5656511006
558,2699181.7164718914
559,2890454.6894551273
560,2580842.1240077564
561,2685082.65773784
562,2434222.396132904
563,2686217.1828602715
564,2860595.072464516
565,2421669.822446455
566,2219354.7569096815
567,2776222.12359114
568,2831331.6640829965
569,2659297.592514841
570,2307708.9628451956
571,2433625.8845697753
572,2914730.6072133854
573,2549343.497320834
574,2517022.4826302566
575,2099368.189162003
576,2380613.6041603633
577,2427340.6814585244
578,2788514.018359481
579,2415822.5799269723
580,2445917.7385617904
581,3117939.9729671003
582,2709214.247358092
583,2865284.106442777
584,2734012.395510239
585,2643477.6341530513
586,2602768.5350372763
587,2791162.295685936
588,2516966.5072268224
589,3168982.0270996955
590,2788077.8213703274
591,2559291.709647455
592,2287971.5434141937
593,2710129.703047751
594,2686660.8488318007
595,2618257.2467972543
596,2607974.5475783735
597,2989543.636609615
598,2201311.044894178
599,2828004.8005597605
600,2490874.025140738
601,2849143.6629325897
602,2517186.764768392
603,2534798.491817947
604,2861683.90179524
605,2618407.112726809
606,2839517.0877214842
607,2530222.043125665
608,2557078.6043904615
609,2671439.7126213266
610,2622624.702983321
611,2641446.8631629343
612,2641443.011438546
613,2208600.1504936204
614,3490885.4113816894
615,2681051.777383761
616,2697483.2552791797
617,2370155.765591709
618,2632466.693258181
619,2447843.5300771133
620,2826812.546593821
621,2521656.5918057878
622,2521120.6246601893
623,2555658.8224909883
624,2504740.6033901926
625,2311836.3350804048
626,2260139.186700678
627,2715907.2792835156
628,2906734.692541786
629,3051342.4794045654
630,2864333.866524268
631,3149666.5386885297
632,2426213.9084641933
633,3028256.420984951
634,2213815.331644091
635,2828279.635258576
636,2776753.7179504824
637,2991273.775703841
638,2454916.2404237543
639,2548895.797435782
640,2221599.9126991187
641,2201978.186610501
642,2637338.1756808544
643,2619713.446554912
644,2779881.516884125
645,2469722.285855752
646,2016855.858286734
647,3347424.6330061005
648,2640983.918123637
649,2477459.836596948
650,2507374.5379206943
651,2277203.2770844153
652,2778656.4391872357
653,2859705.3772778846
654,2459322.9227791848
655,2652728.8644386614
656,2734677.8340611514
657,2623658.5714062443
658,2629779.330821865
659,2647470.063025578
660,2843239.2571603954
661,3331124.2597247167
662,2550025.2381198085
663,2605452.7802772103
664,2906127.905377053
665,2198480.929471181
666,2588207.218261795
667,2538454.20442474
668,2384687.7545352858
669,2619473.019292148
670,2767829.3437049603
671,2445325.2805499826
672,2705157.487095131
673,2322448.467861711
674,2635462.2387622353
675,2525873.6687976792
676,2492409.561403638
677,2802188.4668619093
678,2658518.0721350308
679,2779430.688228107
680,2344478.216360021
681,2366576.8960719747
682,2332816.115664551
683,2257030.6697087106
684,2593545.239855959
685,2575021.667151341
686,2566744.6660776082
687,2569140.767891221
688,2605583.6527958903
689,2566406.9654943235
690,2879692.222259232
691,2663671.0944967037
692,2647100.9923537318
693,2575905.7362682917
694,2531707.0347226067
695,2485756.749586892
696,2788951.679350817
697,2638999.503650671
698,3006041.061153617
699,2726136.3721640552
700,2763063.4070934323
701,3009984.6749928626
702,2085580.5298815803
703,2950301.4925272237
704,2503210.615945943
705,2512728.2172598983
706,2491305.803343723
707,2271377.8708936768
708,2910912.5314853527
709,2327299.358553317
710,2283484.331121594
711,2678330.602555043
712,2308696.310147528
713,2315396.5715500116
714,2539344.7538296496
715,2730162.74199294
716,2377955.6374979834
717,2824478.595806057
718,2448787.630640074
719,2731211.5735504925
720,2845440.6217639553
721,2902892.3567325654
722,2757496.7419819837
723,2546373.025942784
724,2326857.7275514062
725,2953186.6460645623
726,2497263.3480355483
727,2189658.1832151925
728,2723771.6397056016
729,2737601.192267439
730,2798585.8773169694
731,2543872.732216082
732,2904666.1056782533
733,2592019.1024101395
734,3017592.732287326
735,2290563.044624934
736,3063610.1250082306
737,2547402.286277435
738,2828312.8544811057
739,2948709.4090477424
740,2797528.8216562225
741,2281452.048428802
742,2791097.9429581105
743,2070098.5451490702
744,2145896.729980827
745,2467355.0713956654
746,2103083.756661543
747,2208013.7350269924
748,2695941.3349550967
749,3042866.325929926
750,2739157.3603473636
751,2351795.5318083507
752,2933350.5188416545
753,2622295.387535273
754,2315250.8289554375
755,2647728.7423771396
756,2433000.7662450927
757,2450111.428262486
758,2329523.301369279
759,2842936.6887553707
760,2668852.814513795
761,2312224.481091222
762,2958141.0500148297
763,2473285.7097027795
764,2903871.772453977
765,2047906.5845267891
766,2388578.8294703253
767,2282938.205817432
768,2137367.615846486
769,2524469.577218707
770,2900275.6510815863
771,2018469.7905982349
772,2232380.0711125927
773,2605974.5233653598
774,2813303.8109514415
775,2376248.3747368073
776,3004054.703807499
777,2530468.7240128512
778,3041859.8412638106
779,2277166.192383002
780,2181526.3384500295
781,2799779.3535567806
782,2377006.840148969
783,2398662.966724468
784,2980617.952468776
785,3279540.3920086045
786,2362479.466393318
787,2704882.1457649725
788,2546486.6724440935
789,2774950.090601482
790,2442016.125278977
791,2446604.9655120377
792,2846707.668572583
793,2544914.838201437
794,2690171.8039752077
795,2519122.915490812
796,2273349.870959539
797,2935622.5763233555
798,2348155.1990335034
799,2614332.477501074
800,2612950.801579872
801,2395812.7915073736
802,2496368.7322647963
803,2439287.0481818565
804,2537153.217590894
805,2555503.4005947243
806,2685655.705828647
807,2008682.69536771
808,2445502.522546445
809,1912181.2530144975
810,2538388.1935829194
811,2533320.5569271822
812,2371372.682095008
813,2269038.357921541
814,2632010.145203898
815,2497250.3774703597
816,2983277.8856922095
817,2726537.3417371656
818,2338359.959692157
819,2997730.5329138087
820,2778238.1995201013
821,2832911.247798609
822,2579668.162791676
823,2816171.119607626
824,2478131.5284022233
825,2312905.081308091
826,3031859.853072701
827,2950476.824373412
828,2556478.1013752
829,2467194.3806566615
830,2632397.692232454
831,2599928.696703737
832,2645466.6049153213
833,2283570.025815399
834,2577000.2035048376
835,2984736.153523991
836,2511767.3671722948
837,2596913.4531841986
838,2486083.885238767
839,2722093.347454552
840,2828555.160052805
841,2332244.294662951
842,2595195.851266538
843,2575351.211343107
844,2858415.917743665
845,2469382.6120666056
846,2758055.5041664564
847,2909289.615175861
848,2985840.2164537213
849,2764496.2912128507
850,2646178.6249718647
851,2530973.294099322
852,2219724.894994947
853,2402817.881545309
854,3179657.8029045663
855,2549090.7102741413
856,2901515.207108314
857,2946198.9871736616
858,2852224.1956402026
859,2907578.8578466936
860,2331203.774042234
861,2483757.8476580554
862,3338204.095489935
863,3068841.594519616
864,2692513.067933717
865,1998317.5853622446
866,2588546.7655854393
867,2684523.6262944792
868,2420243.856452204
869,2337753.8932021987
870,2572914.2422739435
871,2674104.313049111
872,2874633.2346309493
873,2727833.837850616
874,2729730.344978493
875,2537365.3499457333
876,2803046.8332383027
877,2828090.382420694
878,3150709.8477076325
879,2270855.4912974876
880,2686750.6098547108
881,2397282.1261850507
882,2321480.2936022
883,3320765.7946413793
884,2957442.422138536
885,2561397.226242253
886,3098754.2960607694
887,2725875.2074351674
888,2771948.147296836
889,2177935.299242003
890,2328313.3481205697
891,3323985.765944267
892,2478956.236074414
893,2789404.9419635464
894,2612482.8144773305
895,2655962.6571225245
896,2417930.716159137
897,2389612.147140632
898,2432418.0315720616
899,2344731.9314689054
900,2112490.2302689035
901,2851424.290144952
902,3031982.4038347127
903,2442357.317711271
904,2504440.3326262035
905,2205330.841356056
906,2663808.305219917
907,3034551.512952486
908,2876024.535379736
909,2702912.984623972
910,2377782.5951798707
911,2235240.799349276
912,2713831.040687643
913,2080545.9048307333
914,2636390.910930212
915,2552647.796728056
916,2605014.6949403435
917,2422744.960991753
918,2572370.664734154
919,2339314.400862297
920,2810453.7541495534
921,2051274.6458321442
922,3223781.8565131826
923,2576877.2760628937
924,3093115.214024856
925,2956003.120516938
926,2965503.057165083
927,2786754.076710648
928,3028090.732933817
929,2906912.74162322
930,2610169.0207667816
931,2050983.3612088305
932,2826515.922750523
933,2445902.5090966616
934,2352977.8123223353
935,2620544.61735213
936,2438656.554765694
937,2525906.714138276
938,2557029.597821253
939,2482549.0321636153
940,2303994.3582986305
941,2563232.2689441396
942,2778073.810734775
943,2665521.550476498
944,2092441.9639047985
945,3049404.7241234854
946,2552913.781919494
947,2781280.062183211
948,2799960.9344958793
949,2430505.2063963776
950,2615886.5257705282
951,2804246.674986508
952,2480235.556484161
953,2770924.852270355
954,2912852.6588809825
955,2602668.5569596514
956,2238438.766229012
957,2516427.8491901006
958,3167537.0122078983
959,2502723.7540655513
960,2427163.0340636047
961,2330078.5202848786
962,2120083.4640635205
963,2817804.5568714547
964,2936994.720442633
965,2645786.482920524
966,2516981.476216519
967,2618817.65830963
968,2337687.8134156964
969,2560923.488519658
970,2721704.1669075727
971,2371816.084605546
972,2621243.111664783
973,2338705.2960582436
974,3218502.736652014
975,2707080.872785697
976,2428682.641837853
977,2892231.225091534
978,2708499.5201335545
979,2740621.7214037897
980,2466568.268091889
981,2815815.4892765186
982,2611195.2442085277
983,2483734.261965823
984,2599104.494465642
985,2745766.9589017164
986,2572656.1016760077
987,2313163.847494018
988,2689657.4865534054
989,2882570.3650375823
990,2539019.0919139525
991,2535150.2132791644
992,2614328.3800283875
993,2226454.239840786
994,2368635.720729876
995,2664477.823079049
996,3001424.067369038
997,2838314.0840316387
998,2353812.7805995177
999,2824027.051414049
1000,2488187.667612926
